Well,DEPTH,DT,DEN,NEU,PHIE,GR,Facies,Core_Perm,Core_POR,Zone
42/13a-A5Z,11759,66.19999695,2.770100117,0.122900002,0,162.7846985,-999.25,-999.25,-999.25,2
42/13a-A5Z,11759.5,68.93333435,2.714900017,0.151299998,0,150.4888001,-999.25,-999.25,-999.25,2
42/13a-A5Z,11760,71.66666412,2.649100065,0.199499995,0,141.3065949,-999.25,-999.25,-999.25,2
42/13a-A5Z,11760.5,74.40000153,2.61500001,0.257699996,0.0001,139.8173065,-999.25,-999.25,-999.25,2
42/13a-A5Z,11761,74.40000153,2.652499914,0.314799994,0.0003,138.9866028,-999.25,-999.25,-999.25,2
42/13a-A5Z,11761.5,74.66670227,2.691900015,0.33160001,0.0005,136.2445068,-999.25,-999.25,-999.25,2
42/13a-A5Z,11762,74.9332962,2.680399895,0.325199992,0.0017,128.5854034,-999.25,-999.25,-999.25,2
42/13a-A5Z,11762.5,75.19999695,2.611099958,0.303499997,0.0072,117.9862976,-999.25,-999.25,-999.25,2
42/13a-A5Z,11763,75.19999695,2.548899889,0.280999988,0.033300001,104.2176971,-999.25,-999.25,-999.25,2
42/13a-A5Z,11763.5,75.19999695,2.522099972,0.261200011,0.055100001,98.3914032,-999.25,-999.25,-999.25,2
42/13a-A5Z,11764,75.19999695,2.519799948,0.243300006,0.097199999,82.15139771,-999.25,-999.25,-999.25,2
42/13a-A5Z,11764.5,75.19999695,2.529700041,0.228799999,0.113700002,66.63400269,-999.25,-999.25,-999.25,2
42/13a-A5Z,11765,75.19999695,2.539400101,0.219600007,0.1193,59.40829849,-999.25,-999.25,-999.25,2
42/13a-A5Z,11765.5,73.59999847,2.55340004,0.208299995,0.1259,50.55329895,-999.25,-999.25,-999.25,2
42/13a-A5Z,11766,73.59999847,2.520499945,0.201299995,0.125599995,52.26380158,-999.25,-999.25,-999.25,2
42/13a-A5Z,11766.5,70.40000153,2.494499922,0.190599993,0.1153,57.36249924,-999.25,-999.25,-999.25,2
42/13a-A5Z,11767,70.40000153,2.467499971,0.179399997,0.1096,60.84600067,-999.25,-999.25,-999.25,2
42/13a-A5Z,11767.5,70.40000153,2.449100018,0.171299994,0.119199999,55.02099991,-999.25,-999.25,-999.25,2
42/13a-A5Z,11768,70.40000153,2.424000025,0.168300003,0.134200007,48.79600143,-999.25,-999.25,-999.25,2
42/13a-A5Z,11768.5,70.40000153,2.399600029,0.172700003,0.143199995,49.04190064,-999.25,-999.25,-999.25,2
42/13a-A5Z,11769,74.40000153,2.395100117,0.180899993,0.150900006,47.88980103,-999.25,-999.25,-999.25,2
42/13a-A5Z,11769.5,74.40000153,2.406899929,0.190899998,0.160400003,44.1108017,-999.25,-999.25,-999.25,2
42/13a-A5Z,11770,74.40000153,2.440900087,0.199300006,0.158899993,43.26850128,-999.25,-999.25,-999.25,2
42/13a-A5Z,11770.5,76.80000305,2.450000048,0.203199998,0.158099994,43.84519959,-999.25,-999.25,-999.25,2
42/13a-A5Z,11771,76.80000305,2.447499991,0.200599998,0.154100001,45.5320015,-999.25,-999.25,-999.25,2
